delay	count
0	0
1	0
2	0
3	1
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	1
21	32
22	114
23	87
24	37
25	28
26	15
27	17
28	16
29	32
30	44
31	30
32	22
33	19
34	18
35	20
36	8
37	11
38	12
39	13
40	16
41	8
42	7
43	18
44	22
45	14
46	25
47	24
48	24
49	23
50	24
51	21
52	17
53	14
54	16
55	14
56	19
57	17
58	17
59	17
60	8
61	11
62	14
63	10
64	12
65	2
66	6
67	7
68	3
69	4
70	2
71	2
72	1
73	1
74	2
75	2
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	1
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	1
Notes:
Notes
