delay	count
0	0
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	5
11	18
12	8
13	3
14	2
15	0
16	1
17	0
18	1
19	0
20	0
21	0
22	0
23	4
24	3
25	3
26	2
27	0
28	1
29	5
30	5
31	5
32	5
33	6
34	12
35	16
36	20
37	22
38	13
39	30
40	24
41	31
42	41
43	32
44	35
45	51
46	154
47	84
48	36
49	33
50	31
51	33
52	19
53	9
54	19
55	14
56	9
57	9
58	8
59	3
60	3
61	2
62	3
63	1
64	1
65	3
66	4
67	4
68	1
69	1
70	3
71	1
72	1
73	0
74	5
75	7
76	6
77	1
78	5
79	2
80	1
81	1
82	1
83	5
84	1
85	2
86	6
87	4
88	2
89	6
90	6
91	3
92	4
93	2
94	4
95	7
96	5
97	5
98	4
99	34
