delay	count
0	0
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	3
22	0
23	2
24	1
25	0
26	0
27	2
28	3
29	5
30	4
31	4
32	5
33	7
34	4
35	8
36	11
37	17
38	18
39	19
40	35
41	35
42	28
43	35
44	50
45	59
46	109
47	68
48	20
49	22
50	27
51	35
52	38
53	34
54	15
55	9
56	8
57	8
58	3
59	5
60	4
61	2
62	1
63	0
64	0
65	2
66	3
67	1
68	2
69	0
70	1
71	0
72	1
73	4
74	1
75	4
76	3
77	6
78	9
79	7
80	5
81	10
82	6
83	9
84	9
85	12
86	11
87	19
88	14
89	9
90	12
91	9
92	26
93	12
94	8
95	6
96	5
97	3
98	11
99	19
